Timestamp;udontknowme;Jupiter alt;Sacred Sundy;FallenDark;ADSCENCE;Derpydog495;Lizzy 2;Crasymonster26
08-03-2021 00:00:00;0;0;0;0;0;0;0;0
09-03-2021 00:00:00;0;17,221916666665493;0;0;79,26216666666664;0;0;0
10-03-2021 00:00:00;0;0;0;0;125,69475000000011;0;0;0
11-03-2021 00:00:00;0;77,36183333333247;11,545833333333576;221,54066666666665;0;0;0;0
12-03-2021 00:00:00;0;0;0;0;0;0;0;0
13-03-2021 00:00:00;0;155,90504166666506;188,2286666666696;9,050749999999994;0;0;0;0
14-03-2021 00:00:00;0;1,0219166666684032;79,95295833333148;0;0;0;0,5045000000000073;0
15-03-2021 00:00:00;0;997,625;0;0;0;109,11183333333611;0;0
16-03-2021 00:00:00;0;0;0;0;0;0;0;0
17-03-2021 00:00:00;0;0;0;0;0;0;0;0
18-03-2021 00:00:00;0;0;0;0;0;0;0;0
19-03-2021 00:00:00;0;0;0;0;0;0;0;0
20-03-2021 00:00:00;1452,6059166666682;0;890,3429166666683;0;0;0;0;0
21-03-2021 00:00:00;0;0;0;0;0;0;0;0
